text,labels
how can I check if there are any updates on the restitution?,REFUND
where do I buy something?,ORDER
"I want to check your payment modalities, I need assistance",PAYMENT
I am waiting for a refnd of {{Refund Amount}} dollars,REFUND
can you help me informing of errors with payment?,PAYMENT
I do not know what I have to do to list your payment methods,PAYMENT
want assistance to cancel order {{Order Number}},ORDER
how do I shop a few of your item?,ORDER
help me seeing in which cases can I request to be reimbursed,REFUND
I do not know what I need to do to request rebates,REFUND
change details on {{Account Category}} account,ACCOUNT
want help to order a few of your article,ORDER
I have got to report problems with a signup,ACCOUNT
what do I have to do to report issues with a sign-up?,ACCOUNT
"I have not signed up, help opening a {{Account Category}} account",ACCOUNT
deleting {{Account Category}} account,ACCOUNT
is it possible to see purchase {{Order Number}} status?,ORDER
i have paid {{Currency Symbol}}{{Refund Amount}} ofr this product i need my money back,REFUND
help checking in which cases can I request to be refunded,REFUND
want assistance to report issues with payment,PAYMENT
I don't know how I can cancel the pro account,ACCOUNT
new gold acount for wife,ACCOUNT
help to purchase some articles,ORDER
how can i ask for rebates of my money,REFUND
help me to check ur allowed payment options,PAYMENT
how to edit order {{Order Number}},ORDER
i do not know what to do to receive compensations of money,REFUND
the shipment options,DELIVERY
watn assistance recovering my account pass,ACCOUNT
could you help me see what damn shipment methods you offer?,DELIVERY
i have got to reset mny access key,ACCOUNT
how long until i get my money back,REFUND
how do i inform of troubles with online payment,PAYMENT
is it possible to shop a few of your item?,ORDER
i do not know what i have to do to edit the user information,ACCOUNT
assistance recovering the access key of my account,ACCOUNT
is it possible to notify of an error with payment,PAYMENT
switch several items of order {{Order Number}},ORDER
"I want to see what shipping options I have, how to do it?",DELIVERY
help to buy a few of ur item,ORDER
I don't know how I could delete my standard account,ACCOUNT
updating informtaion on standard account,ACCOUNT
"I have got to use the {{Account Type}} profile, I need help",ACCOUNT
assistance with cancelling purchase {{Order Number}},ORDER
I need to see your accepted payment options,PAYMENT
help me check how long it takes for the delivery to arrive,DELIVERY
cancel order {{Order Number}},ORDER
can uhelp me to inform of  issues with payments,PAYMENT
help me to change a product of purchase {{Order Number}},ORDER
update order {{Order Number}},ORDER
give me information about  the removal of my {{Account Type}} account,ACCOUNT
i dont have a {{Account Category}} account eyt i need to sign up,ACCOUNT
wanna check what payment methods uaccept,PAYMENT
canceling pro account,ACCOUNT
could you help me changing to the {{Account Type}} account?,ACCOUNT
"I want to see what shipment options I have, how can I do it?",DELIVERY
I need assistance ordering some articles,ORDER
where to notify of errors with sign-up?,ACCOUNT
I need assistance to receive a rebate of money,REFUND
status of refund,REFUND
need assistance to earn an item,ORDER
i need assistance creating a platinum account,ACCOUNT
is it possible to order from {{Delivery City}} ?,DELIVERY
how could I see how soon can I expect my order?,DELIVERY
i try to see in what cases can i ask for a refund,REFUND
can you help me to open a freemium account?,ACCOUNT
"I have to see my restitution status, how to do it?",REFUND
"I want to check the methods for delivery, help me",DELIVERY
update {{Account Type}} account,ACCOUNT
modifying details on {{Account Type}} account,ACCOUNT
I cannot see the status of my compensation,REFUND
what do I need to do to check the shipment options?,DELIVERY
get reimbursement of money,REFUND
how to see the allowed payment modalities?,PAYMENT
correcting information on freemium account,ACCOUNT
"I can't remember the PIN of my user, help restoring it",ACCOUNT
edit data on freemium account,ACCOUNT
what do I need to do to buy sxome products?,ORDER
can I see in what cases can I request an reimbursement?,REFUND
I want assistance changing to the standard account,ACCOUNT
want assistance seeing the delivery options,DELIVERY
modify {{Account Category}} account,ACCOUNT
help with canceling purchase {{Order Number}},ORDER
I try to reset the fucking key of my profile,ACCOUNT
correcting details on {{Account Type}} account,ACCOUNT
new gold account for wife,ACCOUNT
changing data on {{Account Category}}  account,ACCOUNT
could ya help me changing an item of order {{Order Number}},ORDER
I want help informing of errors with a registration,ACCOUNT
is it possible to order from {{Delivery City}},DELIVERY
i need assistance to retrieve the pwd of my user profile,ACCOUNT
is it possible to order from {{Delivery City}},DELIVERY
need help to modify my user information,ACCOUNT
I need assistance to inform of issues with online payments,PAYMENT
can you help me seeing how soon can I expect my purchase?,DELIVERY
help me to check in what situations acn I request a refund,REFUND
i cannot track my restitution,REFUND
i need assistance to cancel order {{Order Number}},ORDER
can I open a gold account?,ACCOUNT
"I am waiting for a refund of {{Currency Symbol}}{{Refund Amount}}, has it been processed?",REFUND
how can i know if there is anything wrong with my refund,REFUND
want assistance to check the status of the rebate,REFUND
"I wwould like to see your damn money back policy, help me",REFUND
what do i need to do to create a {{Account Category}} account,ACCOUNT
I do not know what I need to do to change to the {{Account Type}} account,ACCOUNT
check ur money back guarantee,REFUND
I'm waiting for an refund of {{Currency Symbol}}{{Refund Amount}},REFUND
i do not know what to do to resetthe key of my user profile,ACCOUNT
need assistance to cancel orer {{Order Number}},ORDER
I need assistance notifying of errors with online payments,PAYMENT
canmcel order {{Order Number}},ORDER
what do I need to do to create a {{Account Type}} account?,ACCOUNT
I have a problem with cancelling purchase {{Order Number}},ORDER
I want help seeing what delivery options are there,DELIVERY
open {{Account Category}} account,ACCOUNT
assistance checking your allowed payment modalities,PAYMENT
informing of issue with sign-up,ACCOUNT
I need assistance to change to the {{Account Type}} account,ACCOUNT
modifying purchase {{Order Number}},ORDER
I do not know how I can restore the PIN code of my profile,ACCOUNT
edit information on freemium account,ACCOUNT
I am waiting for an restitution of {{Refund Amount}} dollars,REFUND
how can i buy a few of ur item,ORDER
I do not know what to do to acquire several damn products,ORDER
I don't know how I can inform of problems with payments,PAYMENT
i need help seeing if there are any news on the rebate,REFUND
want help to  notify of a fucking error with payments,PAYMENT
I need assistance checking the methods for shipment,DELIVERY
how can I check how soon can I expect the parcel?,DELIVERY
"I have lost my account access key, I need help to reset it",ACCOUNT
correcting data on {{Account Type}} accoujnt,ACCOUNT
I want to check what shipment methods you offer,DELIVERY
help informing of an error with online payments,PAYMENT
delete some items from order {{Order Number}},ORDER
"I want a different damn {{Account Category}} account, help me opening it",ACCOUNT
I do not know how I can cancel purchase {{Order Number}},ORDER
"I don't use my bloody pro account, how do I remove it?",ACCOUNT
help me seeing in which situations can I ask for refunds,REFUND
help toinform of registration issues,ACCOUNT
i want assistance seeing the accepted payment modalities,PAYMENT
i have padi {{Currency Symbol}}{{Refund Amount}} for an order i need to get a reimbursement,REFUND
how could i see the status of my refund,REFUND
is it possible to crewate a gold account,ACCOUNT
order cancelation,ORDER
help to retrieve the password of my profile,ACCOUNT
is it possible to see if there are any updates on my refund,REFUND
d uship to {{Delivery City}},DELIVERY
I don't know how to see the restitution status,REFUND
information about the cancellation of my {{Account Category}} account,ACCOUNT
I have to reporta trouble with payment,PAYMENT
I need to see the ETA of order {{Order Number}},ORDER
"I want information about shipping periods, how can I get it?",DELIVERY
I do not know what to do to purchase several articles,ORDER
can ya  help me notify of a trouble with online payments,PAYMENT
is it possible to see what shipping methods you offer?,DELIVERY
d uship to {{Delivery City}},DELIVERY
need to receive a reimbursement of my money,REFUND
could you help me checking the available payment options?,PAYMENT
where can i find information about the pin code recovery,ACCOUNT
I need help to  report problems with registrations,ACCOUNT
help me see the status of purchase {{Order Number}},ORDER
want assistance to report a trouble with online payments,PAYMENT
could ya help me requesting compensations of my money,REFUND
need to swap some products of purchase {{Order Number}},ORDER
is it possible to see purchase {{Order Number}} status?,ORDER
cancel gold account,ACCOUNT
"I have got to see what shipping methods are there, help me",DELIVERY
do you ship  to {{Delivery Country}}?,DELIVERY
how to check the status of purchase {{Order Number}}?,ORDER
can you help me opening a pro account?,ACCOUNT
I have a problem with cancelling purchase {{Order Number}},ORDER
help me using the {{Account Type}} profile,ACCOUNT
new platinum account for wife,ACCOUNT
I try to check in what cases can I request my money back,REFUND
i dont know what to do to delete the goddamn standard acount,ACCOUNT
I am trying to check what payment options are accepted,PAYMENT
how to get a rebate of money?,REFUND
I do not know how I can track my rebate,REFUND
check order {{Order Number}} status,ORDER
i do not use my {{Account Category}} account i try to close it,ACCOUNT
I want help resetting my access key,ACCOUNT
I want information about the removal of my freemium account,ACCOUNT
how do i use the premium profile,ACCOUNT
would it be possible to inform of damn errors with payments?,PAYMENT
update data on {{Account Category}} account,ACCOUNT
I need help to purchase some bloody products,ORDER
pudate info on {{Account Type}} account,ACCOUNT
how can i see how long the shipping takes,DELIVERY
can ya help me change to the platinum account,ACCOUNT
how could I receive a refund?,REFUND
i have got ot use the freemium account how could i do it,ACCOUNT
"I am waiting for a compensation of {{Currency Symbol}}{{Refund Amount}}, was it processed",REFUND
need assistance retrieving tthe password of my user profile,ACCOUNT
could you help me request a compensation of my money?,REFUND
is it possible to shop an item,ORDER
I need assistance to create a standard account,ACCOUNT
can you help me see when my product is going to arrive?,DELIVERY
I have got to see in what cases can I ask for a refund,REFUND
want assistance to notify of a registration issue,ACCOUNT
I try to inform of problems with a signup,ACCOUNT
can I delete some articles from order {{Order Number}}?,ORDER
i dont know how to see ur goddamn money back guarantee,REFUND
I don't know what I have to do to inform of sign-up issues,ACCOUNT
can I ordrr from {{Delivery City}}?,DELIVERY
i want assistance to track purchase {{Order Number}},ORDER
list accepted payment methods,PAYMENT
editing informaqtion on platinum account,ACCOUNT
problem with {{Account Type}} account terminations,ACCOUNT
modifying ingormation on {{Account Category}} account,ACCOUNT
where to check what payment payment modalities are available,PAYMENT
how can i check purchase {{Order Number}} current status,ORDER
I  need assistance closing my platinum account,ACCOUNT
assistance to retrieve my account pin,ACCOUNT
what do i need to do to reportt registration errors,ACCOUNT
i want assistance with my onlinhe registration,ACCOUNT
want assistance to notify of an issue with payment,PAYMENT
i want help resetting my account access key,ACCOUNT
can ya help me ordering something,ORDER
give me information about a forgotten key,ACCOUNT
"I want to retrieve the damn key of my user, I need help",ACCOUNT
i want assistance seeingorder {{Order Number}} current status,ORDER
"I can't pay, notify of a trouble with online payment",PAYMENT
where to list your allowed payment options?,PAYMENT
I need assistance cancelling my {{Account Type}} account,ACCOUNT
help me to check in which cases can I request reimbursements,REFUND
"I have to see the status of my reimbursement, I need help",REFUND
i need assistance to add something to order {{Order Number}},ORDER
editing data on freemium account,ACCOUNT
i cant make a payment where do i inform of a problem,PAYMENT
where to create a {{Account Category}} account for my daughter?,ACCOUNT
i dont know what i have to do to remove my standard account,ACCOUNT
help me to open a gold account for my daughter,ACCOUNT
changing data on gold account,ACCOUNT
i cant check ur moeny back guarantee,REFUND
could i list ur accepted payment options,PAYMENT
i have to change the personal details,ACCOUNT
I need assistanec retrieving my account key,ACCOUNT
need to restore the pass of my user account,ACCOUNT
i need help changing an iten of purchase {{Order Number}},ORDER
where to see the ETA of the order {{Order Number}},ORDER
I am waiting for a compensation of {{Currency Symbol}}{{Refund Amount}},REFUND
I am trying to see in which cases can I ask for refunds,REFUND
error opening user profile,ACCOUNT
i need assistance checking what methods for delivery i have,DELIVERY
how can I check what shipment methods are available?,DELIVERY
i olst my pin code can ya help me retrieve it,ACCOUNT
want help to see in which cases can I request reimbursements,REFUND
"I have got to earn several of your item, will you help me?",ORDER
I can't swap an item of purchase {{Order Number}},ORDER
where do i see the eta of the order {{Order Number}},ORDER
where can I reset the access key of my user profile?,ACCOUNT
I have to see how soon can I expect the goddamn order,DELIVERY
is it possible to order from {{Delivery City}} ?,DELIVERY
I do not know wha to do to check when will my product arrive,DELIVERY
give me information about my forgotten PIN,ACCOUNT
editing premium  account,ACCOUNT
i want help regarding my sign-up,ACCOUNT
can ya help me check how long reimbursemenst take,REFUND
i  have got to inform of troubles with online payment,PAYMENT
I need assistance checking how soon can I expect my delivery,DELIVERY
itry to swap several damn products of order {{Order Number}},ORDER
I don't know how to buy some of your item,ORDER
"I need to purchase several items, how can I do it?",ORDER
how can I purchase some of your article?,ORDER
I want to buy an article,ORDER
see my restitution current status,REFUND
i dont know what to do to change to the standard account,ACCOUNT
create new gold account for daughter,ACCOUNT
i dont know what to do to list the payment options,PAYMENT
help to edit the information on my user profile,ACCOUNT
"I need to see your money back guarantee, can you help me?",REFUND
help seeing the current status of purchase {{Order Number}},ORDER
I want assistance checking your reimbursement policy,REFUND
I expect a refund of {{Currency Symbol}}{{Refund Amount}},REFUND
wanna remove something from order {{Order Number}} can ya hnelp me,ORDER
show me ur reimbursement policy,REFUND
i need assistance to check ur available payment modalities,PAYMENT
"I bought some items, help canceling order {{Order Number}}",ORDER
I expect an refund of {{Refund Amount}} dollars,REFUND
help me restore the key of my user,ACCOUNT
i have paid {{Currency Symbol}}{{Refund Amount}} for a product where to receive a rebate,REFUND
can ya help me to cancel order {{Order Number}},ORDER
i have made a mistake i need help changing purchase {{Order Number}},ORDER
need assistance checking order {{Order Number}} status,ORDER
"I have got to see how soon can I expect my shipment, help me",DELIVERY
I try to see in which cases can I request to be refunded,REFUND
I do not know what to do to cancel the {{Account Type}} account,ACCOUNT
assistance to remove an article from order {{Order Number}},ORDER
help changing to the {{Account Category}} account,ACCOUNT
is it possible toorder from {{Delivery City}},DELIVERY
can you help me check the acepted payment modalities?,PAYMENT
can uhelp me canceling purchase {{Order Number}},ORDER
assistance to check what delivery options are there,DELIVERY
"I do not have a freemium account, help me register",ACCOUNT
what do I have to do to inform of payment errors?,PAYMENT
help me to obtain rebates  of money,REFUND
I have got to earn some products,ORDER
what do I have to do to cancel purchase {{Order Number}}?,ORDER
I need help with canceling order {{Order Number}},ORDER
help removing an article from order {{Order Number}},ORDER
I do not know how to check what shipping options I have,DELIVERY
question about a forgotten key,ACCOUNT
can you help me to report a problem with signup?,ACCOUNT
use {{Account Category}} acdcount,ACCOUNT
"I want to modify purchase {{Order Number}}, I need assistance",ORDER
where do I cancel purchase {{Order Number}}?,ORDER
i cant remove an itme from purchase {{Order Number}},ORDER
i dont know how i can buy an item,ORDER
help cnceling order {{Order Number}},ORDER
help with cancelling purchase {{Order Number}},ORDER
can I check in which situations can I ask to be refunded?,REFUND
I do not know what to do to delete a pro account,ACCOUNT
can you show me how long it takes for my delivery to arrive?,DELIVERY
is it possible to check what delivery options are there?,DELIVERY
could you help me adding some items to purchase {{Order Number}}?,ORDER
correct data on {{Account Type}} account,ACCOUNT
i do not know what to do toi inform of payment problems,PAYMENT
need to report troubles with online payment,PAYMENT
new standard account,ACCOUNT
help me to see what payment paymnet modalities are available,PAYMENT
under which circumstances can I request refunds?,REFUND
where culd i cancel order {{Order Number}},ORDER
where can I see my refund current status?,REFUND
i want assistance canceling purchase {{Order Number}},ORDER
"I have got to check your payment methods, I need assistance",PAYMENT
edit premium accont,ACCOUNT
deliverids to {{Delivery Country}},DELIVERY
I'm experiencing a problem with my signup,ACCOUNT
I need to demand my money back,REFUND
"I have to see your available payment options, I need help",PAYMENT
how do I use the pro profile?,ACCOUNT
i nmeed assistance removing some products,ORDER
"I am looking for the shipping periods, I need assistance",DELIVERY
can you help me shop several of your product?,ORDER
want assistance solving problems with payment,PAYMENT
i dont know what i need to do to cancel a premium accounnt,ACCOUNT
can I change to the {{Account Category}} account?,ACCOUNT
I need assistance to get a rebate of  my money,REFUND
add something to order {{Order Number}},ORDER
opdn {{Account Category}} account,ACCOUNT
i have an problem with the pass recovery,ACCOUNT
help me tracking my compensation,REFUND
rebating {{Currency Symbol}}{{Refund Amount}},REFUND
are charges for services reimbursable?,REFUND
editing details on {{Account Category}} account,ACCOUNT
help me to retrieve the PIN of my user profile,ACCOUNT
i want assistance listing the payment methods,PAYMENT
help to see how soon can i expect the goddamn roder,DELIVERY
I need to see how long it takes for the purchase to arrive,DELIVERY
show me in which situations  can i ask for refunds,REFUND
need help to cancel purchase {{Order Number}},ORDER
where to see when my shipment is going to arrive?,DELIVERY
want help to retrieve my pin,ACCOUNT
I want help cancelling purchase {{Order Number}},ORDER
what do i need to do to edit the details on my user profile,ACCOUNT
can i check in which situations can i request a refund,REFUND
question about canceling order {{Order Number}},ORDER
seeing available payment methods,PAYMENT
another {{Account Type}} account,ACCOUNT
how can i create a standard account,ACCOUNT
"my card did not work, assistance reporting payment problems",PAYMENT
can you help me to notify of errors with payment?,PAYMENT
what do I have to do to recover my user PIN?,ACCOUNT
where to receive rebates of money,REFUND
I have to see the status of purchase {{Order Number}},ORDER
I have got to see your money back policy,REFUND
need to change some of my user details how to do it,ACCOUNT
I call to check how soon can I expect my item,DELIVERY
create new {{Account Type}} account,ACCOUNT
checking ETA of order {{Order Number}},ORDER
i want help checking in what cases can i ask for a refund,REFUND
refund  {{Currency Symbol}}{{Refund Amount}},REFUND
cn I place an order from {{Delivery City}}?,DELIVERY
"I have got to change to the {{Account Type}} account, how to do it?",ACCOUNT
i dont know how i can see my rebate current status,REFUND
how can I check what shipment options I have?,DELIVERY
can you help me report a problem with online payment?,PAYMENT
want help to see your reimbursement policy,REFUND
can you help me to check how soon can I expect the package?,DELIVERY
"I want to order a product, I need help",ORDER
i try to cancel order {{Order Number}},ORDER
updating order {{Order Number}},ORDER
what do i hafe to do to check ur payment methods,PAYMENT
I do not know what to do to close my gold account,ACCOUNT
wantr help to solve issues with payment,PAYMENT
give me information about the removal of a premium account,ACCOUNT
modify information on gold acfount,ACCOUNT
could I see in what situations can I request my money back?,REFUND
where to inform of errors with sign-up?,ACCOUNT
could I use the {{Account Type}} profile?,ACCOUNT
i want assistance to see what shipment methods i can choose,DELIVERY
nee to locate purchase {{Order Number}} help me,ORDER
is it possible to notify of errors with payments?,PAYMENT
problems with cancelling order {{Order Number}},ORDER
help switching an article of order {{Order Number}},ORDER
how can I see what fucking shipment options are available?,DELIVERY
how do I change some products of order {{Order Number}}?,ORDER
can uhelp me see the goddamn ETA of order {{Order Number}},ORDER
I am trying to see the current status of the rebate,REFUND
how could I use the gold profile?,ACCOUNT
where could I inform of issues with a signup?,ACCOUNT
can uhelp me to shop some items,ORDER
making order,ORDER
assistance to buiy some of your product,ORDER
I try to see whne will my item arrive,DELIVERY
"I cannot pay for this product, cancel order {{Order Number}}",ORDER
can you help me to solve issues with online payment?,PAYMENT
I'm trying to find information about my pin recovery,ACCOUNT
I wwant assistance retrieving my profile password,ACCOUNT
editdata on gold account,ACCOUNT
where do I restore the PIN of my user account?,ACCOUNT
how could I reset the PIN of my account?,ACCOUNT
help me see in what cases can I ask to be reimbursed,REFUND
I want help to demand a compensation,REFUND
I forgot to include some products in purchase {{Order Number}},ORDER
I am experiencing registration issues,ACCOUNT
can you help me shopping some items?,ORDER
help me to check in which cases can I ask for refunds,REFUND
I am trying to see your accepted payment methods,PAYMENT
